epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3009,2.4522,44.9548,0.0046,0,0,0,0,1.39136,43.9883,0.00512,6e-05,6e-05,6e-05
2,26.5889,2.31498,38.8002,0.00455,0,0,0,0,1.16265,42.3191,0.00451,0.000138614,0.000138614,0.000138614
3,32.2036,2.37603,38.5673,0.00483,0,0,0,0,1.33792,33.0496,0.00508,0.000215644,0.000215644,0.000215644
4,41.8464,1.83446,31.7106,0.00347,0.01156,0.33333,0.06762,0.00997,1.52996,10.9939,0.00597,0.00029109,0.00029109,0.00029109
5,54.5507,1.64312,26.7789,0.00303,0.00111,0.33333,0.00189,0.00079,1.34784,9.36617,0.00533,0.000364952,0.000364952,0.000364952
6,61.0408,1.81016,23.1475,0.00394,0,0,0,0,1.40941,8.541,0.00518,0.00043723,0.00043723,0.00043723
7,67.3417,1.9562,20.9605,0.0046,0.00148,0.44444,0.00531,0.002,1.61865,6.90177,0.00642,0.000507924,0.000507924,0.000507924
8,73.4952,1.83773,13.0859,0.0037,0.00259,0.77778,0.00292,0.00102,1.50362,7.39604,0.00601,0.000577034,0.000577034,0.000577034
9,79.5583,1.88103,13.2946,0.00434,0.00259,0.77778,0.00944,0.00478,1.5687,8.82278,0.00625,0.00064456,0.00064456,0.00064456
10,85.9107,1.90795,10.5323,0.00383,0.05278,0.55556,0.09804,0.03417,1.49461,7.43505,0.00631,0.000710502,0.000710502,0.000710502
11,100.762,1.88406,9.33029,0.00377,0.42208,0.40866,0.38865,0.19266,1.68794,5.65021,0.00717,0.00077486,0.00077486,0.00077486
12,108.024,1.80203,7.19683,0.00362,0.00222,0.66667,0.00432,0.00155,1.96195,6.20399,0.008,0.000837634,0.000837634,0.000837634
13,114.268,1.80672,5.69672,0.00381,0.02389,0.33333,0.02246,0.00676,2.20327,10.0456,0.01037,0.000898824,0.000898824,0.000898824
14,120.91,1.6361,5.47693,0.00309,0,0,0,0,2.07724,29.664,0.0105,0.00095843,0.00095843,0.00095843
15,127.102,1.73943,5.50378,0.00349,0.00289,0.22222,0.00262,0.00092,1.97788,9.67135,0.0087,0.00101645,0.00101645,0.00101645
16,133.8,1.56532,3.40853,0.00325,0.00289,0.22222,0.00262,0.00092,1.97788,9.67135,0.0087,0.00107289,0.00107289,0.00107289
17,140.129,1.72369,3.53837,0.00316,0.94007,0.22222,0.4025,0.12556,1.95854,3.99346,0.0082,0.00112774,0.00112774,0.00112774
18,146.743,1.85073,3.34944,0.00393,0.89408,0.22222,0.3102,0.0964,1.53937,3.93092,0.00622,0.00118101,0.00118101,0.00118101
19,152.958,1.93713,3.01657,0.00388,0.89408,0.22222,0.3102,0.0964,1.53937,3.93092,0.00622,0.0012327,0.0012327,0.0012327
20,159.389,1.82449,2.59034,0.00362,0.7111,0.54812,0.51784,0.1967,1.90858,2.69902,0.00801,0.0012828,0.0012828,0.0012828
21,167.117,1.88669,2.23719,0.00434,0.57622,0.33333,0.41292,0.18701,1.9596,2.92033,0.00844,0.00133132,0.00133132,0.00133132
22,173.647,1.92024,2.27702,0.00417,0.57622,0.33333,0.41292,0.18701,1.9596,2.92033,0.00844,0.00137825,0.00137825,0.00137825
23,180.379,1.77848,2.41301,0.00329,0.82311,0.52147,0.64035,0.24067,2.32913,1.94428,0.01112,0.0014236,0.0014236,0.0014236
24,187.612,1.764,1.73096,0.00334,0.82311,0.52147,0.64035,0.24067,2.32913,1.94428,0.01112,0.00146737,0.00146737,0.00146737
25,195.158,1.61371,1.8729,0.00315,0.29269,0.66667,0.31632,0.10231,2.50433,2.84399,0.01197,0.00150955,0.00150955,0.00150955
26,201.499,1.65679,1.45365,0.00282,0.29269,0.66667,0.31632,0.10231,2.50433,2.84399,0.01197,0.001505,0.001505,0.001505
27,208.206,1.5694,1.53098,0.0034,0.32654,0.33333,0.28134,0.17097,2.20267,4.83144,0.00935,0.0014852,0.0014852,0.0014852
28,214.378,1.79126,2.02915,0.0038,0.32654,0.33333,0.28134,0.17097,2.20267,4.83144,0.00935,0.0014654,0.0014654,0.0014654
29,221.187,1.98082,2.42979,0.0044,0.33901,0.44444,0.28433,0.17948,1.7225,2.66655,0.00701,0.0014456,0.0014456,0.0014456
30,227.38,1.85156,1.17563,0.00366,0.33901,0.44444,0.28433,0.17948,1.7225,2.66655,0.00701,0.0014258,0.0014258,0.0014258
31,233.934,1.87319,1.48988,0.00421,0.69048,0.77778,0.67494,0.2563,2.47714,2.63407,0.01053,0.001406,0.001406,0.001406
32,242.878,2.09003,1.52748,0.00399,0.69048,0.77778,0.67494,0.2563,2.47714,2.63407,0.01053,0.0013862,0.0013862,0.0013862
33,253.261,1.83456,1.22041,0.0038,0.69447,0.66667,0.73392,0.22716,2.49723,2.82923,0.01057,0.0013664,0.0013664,0.0013664
34,259.744,1.53268,1.22636,0.00307,0.69447,0.66667,0.73392,0.22716,2.49723,2.82923,0.01057,0.0013466,0.0013466,0.0013466
35,271.729,1.71452,1.37116,0.00311,0.6135,0.88889,0.66767,0.206,2.30192,3.06266,0.00945,0.0013268,0.0013268,0.0013268
36,280.646,1.72371,1.19507,0.00341,0.6135,0.88889,0.66767,0.206,2.30192,3.06266,0.00945,0.001307,0.001307,0.001307
37,288.126,1.63515,1.23792,0.00361,0.66364,0.66667,0.53513,0.20347,2.12011,2.75908,0.0092,0.0012872,0.0012872,0.0012872
38,294.789,1.61391,1.34685,0.00312,0.66364,0.66667,0.53513,0.20347,2.12011,2.75908,0.0092,0.0012674,0.0012674,0.0012674
39,301.642,1.60554,1.04976,0.00307,0.65966,0.64797,0.66035,0.22431,2.13655,1.90098,0.00979,0.0012476,0.0012476,0.0012476
